*******************************************************************************
JPL/HORIZONS                  7P/Pons-Winnecke             2023-Mar-12 15:37:27
Rec #:90000167 (+COV) Soln.date: 2023-Jan-17_10:11:09   # obs: 1679 (1921-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457137.5 ! 2015-Apr-25.0000000 (TDB)    RMSW= n.a.
   EC= .6375712425875647   QR= 1.239198689611528   TP= 2457053.0274880808
   OM= 93.41561018941695   W= 172.5055336098141    IN= 22.33463826457564
   A= 3.419151113887327    MA= 13.16867378768736   ADIST= 5.599103538163126
   PER= 6.3224535220632    N= .155893006           ANGMOM= .024504848
   DAN= 5.51621            DDN= 1.24333            L= 266.4776792
   B= 2.8410626            MOID= .225666           TP= 2015-Jan-30.5274880808
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 2.6
   M1=  16.      M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  150.3376
   A1= 6.370805669576E-11  A2= -5.190779920667E-12 A3= -1.016157772392E-10
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#30, data arc: 1921-04-28 to 2022-12-16
2: k1=4.5;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Mar 12 15:37:28 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 7P/Pons-Winnecke                {source: JPL#30}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Mar-06 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Apr-05 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457137.5 ! 2015-Apr-25.0000000 (TDB)    RMSW= n.a.                  
   EC= .6375712425875647   QR= 1.239198689611528   TP= 2457053.0274880808      
   OM= 93.41561018941695   W= 172.5055336098141    IN= 22.33463826457564       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.287479384270047E+00  Y=-5.222529062903525E-01  Z=-7.808468980617695E-01
  VX= 1.255567417055866E-02 VY= 1.123090409158097E-02 VZ=-1.007293197052343E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 2.6                                            
   M1=  16.      M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  150.3376               
   A1= 6.370805669576E-11  A2= -5.190779920667E-12 A3= -1.016157772392E-10     
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451609.500000000, A.D. 2000-Mar-06 00:00:00.0000, -1.646456988148028E+08,  7.610723069554528E+08,  4.820720341623050E+07,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000, -1.674770588408479E+08,  7.586498445879807E+08,  4.942645114350724E+07,
2451619.500000000, A.D. 2000-Mar-16 00:00:00.0000, -1.702996446092032E+08,  7.561875576085351E+08,  5.064310430354556E+07,
2451624.500000000, A.D. 2000-Mar-21 00:00:00.0000, -1.731132488425389E+08,  7.536853132009516E+08,  5.185708145566428E+07,
2451629.500000000, A.D. 2000-Mar-26 00:00:00.0000, -1.759176613754694E+08,  7.511429762322711E+08,  5.306830003441411E+07,
2451634.500000000, A.D. 2000-Mar-31 00:00:00.0000, -1.787126690738577E+08,  7.485604092235208E+08,  5.427667631721494E+07,
2451639.500000000, A.D. 2000-Apr-05 00:00:00.0000, -1.814980557518064E+08,  7.459374723199147E+08,  5.548212539106157E+07,
2451644.500000000, A.D. 2000-Apr-10 00:00:00.0000, -1.842736020862502E+08,  7.432740232604622E+08,  5.668456111825964E+07,
2451649.500000000, A.D. 2000-Apr-15 00:00:00.0000, -1.870390855290587E+08,  7.405699173469760E+08,  5.788389610115829E+07,
2451654.500000000, A.D. 2000-Apr-20 00:00:00.0000, -1.897942802165577E+08,  7.378250074124761E+08,  5.908004164583483E+07,
2451659.500000000, A.D. 2000-Apr-25 00:00:00.0000, -1.925389568763708E+08,  7.350391437889787E+08,  6.027290772469705E+07,
2451664.500000000, A.D. 2000-Apr-30 00:00:00.0000, -1.952728827314800E+08,  7.322121742746680E+08,  6.146240293795601E+07,
2451669.500000000, A.D. 2000-May-05 00:00:00.0000, -1.979958214014054E+08,  7.293439441004401E+08,  6.264843447392845E+07,
2451674.500000000, A.D. 2000-May-10 00:00:00.0000, -2.007075328003992E+08,  7.264342958958306E+08,  6.383090806812260E+07,
2451679.500000000, A.D. 2000-May-15 00:00:00.0000, -2.034077730325499E+08,  7.234830696543319E+08,  6.500972796106356E+07,
2451684.500000000, A.D. 2000-May-20 00:00:00.0000, -2.060962942836641E+08,  7.204901026981487E+08,  6.618479685480618E+07,
2451689.500000000, A.D. 2000-May-25 00:00:00.0000, -2.087728447097652E+08,  7.174552296423701E+08,  6.735601586808658E+07,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000, -2.114371683220488E+08,  7.143782823585140E+08,  6.852328449004593E+07,
2451699.500000000, A.D. 2000-Jun-04 00:00:00.0000, -2.140890048681954E+08,  7.112590899374126E+08,  6.968650053247920E+07,
2451704.500000000, A.D. 2000-Jun-09 00:00:00.0000, -2.167280897099113E+08,  7.080974786514901E+08,  7.084556008054766E+07,
2451709.500000000, A.D. 2000-Jun-14 00:00:00.0000, -2.193541536965273E+08,  7.048932719164596E+08,  7.200035744189554E+07,
2451714.500000000, A.D. 2000-Jun-19 00:00:00.0000, -2.219669230344646E+08,  7.016462902524433E+08,  7.315078509410197E+07,
2451719.500000000, A.D. 2000-Jun-24 00:00:00.0000, -2.245661191523784E+08,  6.983563512444887E+08,  7.429673363039631E+07,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000, -2.271514585617923E+08,  6.950232695024600E+08,  7.543809170355883E+07,
2451729.500000000, A.D. 2000-Jul-04 00:00:00.0000, -2.297226527130381E+08,  6.916468566202819E+08,  7.657474596792862E+07,
